year,state_abb,local police department,sheriffs office,other
1964,HI,19447.0,0.0,0.0
1964,IA,30220.0,5995.0,0.0
1964,ID,10422.0,2855.0,0.0
1964,IL,255373.0,17298.0,0.0
1964,IN,83428.0,13000.0,0.0
1964,KS,34595.0,7738.0,0.0
1964,KY,39147.0,5073.0,0.0
1964,LA,48758.0,8902.0,0.0
1964,MA,101579.0,0.0,0.0
1964,MD,76517.0,1190.0,0.0
1964,ME,7835.0,2263.0,0.0
1964,MI,188660.0,23950.0,0.0
1964,MN,62446.0,6922.0,0.0
1964,MO,110681.0,12391.0,0.0
1964,MS,11241.0,2484.0,0.0
1964,MT,9491.0,5033.0,0.0
1964,NC,49369.0,10307.0,0.0
1964,ND,4848.0,2015.0,0.0
1964,NE,19166.0,3632.0,0.0
1964,NH,4504.0,557.0,0.0
1964,NJ,130087.0,0.0,0.0
1964,NM,20553.0,1680.0,0.0
1964,NV,15246.0,686.0,0.0
1964,NY,338394.0,11950.0,0.0
1964,OH,167002.0,25004.0,0.0
1964,OK,42177.0,6784.0,0.0
1964,OR,33891.0,12212.0,0.0
1964,PA,132250.0,348.0,0.0
1964,RI,20774.0,0.0,0.0
1964,SC,27547.0,8434.0,0.0
1964,SD,5307.0,2285.0,0.0
1964,TN,44684.0,7368.0,0.0
1964,TX,217320.0,20794.0,0.0
1964,UT,22150.0,2190.0,0.0
1964,VA,74258.0,8147.0,0.0
1964,VT,1854.0,105.0,0.0
1964,WA,56897.0,23749.0,0.0
1964,WI,52416.0,9310.0,0.0
1964,WV,9556.0,0.0,0.0
1964,WY,4970.0,1050.0,0.0
1965,AK,4091.0,0.0,0.0
1965,AL,42554.0,3567.0,0.0
1965,AR,15121.0,3070.0,0.0
1965,AZ,49604.0,6753.0,0.0
1965,CA,613621.0,178996.0,0.0
1965,CO,41217.0,10082.0,0.0
1965,CT,47094.0,0.0,0.0
1965,DC,33904.0,0.0,0.0
1965,DE,5529.0,0.0,0.0
1965,FL,138248.0,38484.0,0.0
1965,GA,56033.0,6088.0,0.0
1965,HI,22207.0,0.0,0.0
1965,IA,31663.0,5690.0,0.0
1965,ID,10225.0,2794.0,0.0
1965,IL,241990.0,18067.0,0.0
1965,IN,82959.0,12691.0,0.0
1965,KS,36555.0,7126.0,0.0
1965,KY,40282.0,4360.0,0.0
1965,LA,44670.0,13731.0,0.0
1965,MA,106559.0,0.0,0.0
1965,MD,90616.0,1219.0,0.0
1965,ME,8259.0,2088.0,0.0
1965,MI,198051.0,26742.0,0.0
1965,MN,63474.0,6825.0,0.0
1965,MO,111333.0,14751.0,0.0
1965,MS,11702.0,1595.0,0.0
1965,MT,9738.0,4453.0,0.0
1965,NC,51904.0,10434.0,0.0
1965,ND,4804.0,1776.0,0.0
1965,NE,21908.0,3403.0,0.0
1965,NH,5169.0,524.0,0.0
1965,NJ,130954.0,0.0,0.0
1965,NM,22864.0,2689.0,0.0
1965,NV,14217.0,815.0,0.0
1965,NY,364372.0,10130.0,0.0
1965,OH,167582.0,24105.0,0.0
1965,OK,39554.0,6167.0,0.0
1965,OR,37399.0,13573.0,0.0
1965,PA,139245.0,316.0,0.0
1965,RI,20111.0,0.0,0.0
1965,SC,25316.0,5647.0,0.0
1965,SD,5568.0,2209.0,0.0
1965,TN,43972.0,5979.0,0.0
1965,TX,225705.0,21677.0,0.0
1965,UT,25526.0,1896.0,0.0
1965,VA,77343.0,7611.0,0.0
1965,VT,1989.0,164.0,0.0
1965,WA,56276.0,23400.0,0.0
1965,WI,54530.0,8771.0,0.0
1965,WV,9546.0,0.0,0.0
1965,WY,5115.0,879.0,0.0
1966,AK,4855.0,0.0,0.0
1966,AL,185962.0,4153.0,0.0
1966,AR,16807.0,2628.0,0.0
1966,AZ,58555.0,6981.0,0.0
1966,CA,660309.0,187444.0,0.0
1966,CO,46589.0,11028.0,0.0
1966,CT,52323.0,0.0,0.0
1966,DC,39952.0,0.0,0.0
1966,DE,6239.0,0.0,0.0
1966,FL,156023.0,44604.0,0.0
1966,GA,59380.0,6273.0,0.0
1966,HI,24211.0,0.0,0.0
1966,IA,36035.0,6618.0,0.0
1966,ID,9907.0,3093.0,0.0
1966,IL,263684.0,17097.0,0.0
1966,IN,88323.0,12831.0,0.0
1966,KS,39251.0,7239.0,0.0
1966,KY,42615.0,4745.0,0.0
1966,LA,54329.0,15917.0,0.0
1966,MA,115294.0,0.0,0.0
1966,MD,108821.0,955.0,0.0
1966,ME,8572.0,1903.0,0.0
1966,MI,238052.0,33541.0,0.0
1966,MN,70655.0,7508.0,0.0
1966,MO,110014.0,13597.0,0.0
1966,MS,12019.0,1315.0,0.0
1966,MT,10738.0,4639.0,0.0
1966,NC,55961.0,10792.0,0.0
1966,ND,5693.0,1775.0,0.0
1966,NE,23094.0,3048.0,0.0
1966,NH,5814.0,230.0,0.0
1966,NJ,150313.0,27.0,0.0
1966,NM,28111.0,2315.0,0.0
1966,NV,14454.0,776.0,0.0
1966,NY,530437.0,10110.0,0.0
1966,OH,180616.0,23900.0,0.0
1966,OK,41699.0,6140.0,0.0
1966,OR,42219.0,15464.0,0.0
1966,PA,139564.0,372.0,0.0
1966,RI,21896.0,0.0,0.0
1966,SC,25805.0,7795.0,0.0
1966,SD,6188.0,2433.0,0.0
1966,TN,54560.0,6596.0,0.0
1966,TX,255368.0,18552.0,0.0
1966,UT,28269.0,1681.0,0.0
1966,VA,82752.0,7595.0,0.0
1966,VT,2504.0,72.0,0.0
1966,WA,64908.0,25988.0,0.0
1966,WI,65440.0,10223.0,0.0
1966,WV,10292.0,0.0,0.0
1966,WY,5145.0,995.0,0.0
1967,AK,4785.0,0.0,0.0
1967,AL,47316.0,5431.0,0.0
1967,AR,19777.0,3692.0,0.0
1967,AZ,70698.0,7348.0,0.0
1967,CA,747709.0,206891.0,0.0
1967,CO,52545.0,11285.0,0.0
1967,CT,61391.0,0.0,0.0
1967,DC,53916.0,0.0,0.0
1967,DE,6822.0,0.0,0.0
1967,FL,174388.0,51758.0,0.0
1967,GA,52617.0,17115.0,0.0
1967,HI,26545.0,0.0,0.0
1967,IA,41942.0,7184.0,0.0
1967,ID,9168.0,3167.0,0.0
1967,IL,283662.0,22407.0,0.0
1967,IN,101550.0,14822.0,0.0
1967,KS,47386.0,7520.0,0.0
1967,KY,40635.0,12211.0,0.0
1967,LA,62221.0,17913.0,0.0
1967,MA,126665.0,0.0,0.0
1967,MD,78708.0,61001.0,0.0
1967,ME,9861.0,1889.0,0.0
1967,MI,276951.0,34206.0,0.0
1967,MN,82400.0,9359.0,0.0
1967,MO,129378.0,7685.0,0.0
1967,MS,13877.0,446.0,0.0
1967,MT,10526.0,5468.0,0.0
1967,NC,59056.0,18089.0,0.0
1967,ND,6598.0,1857.0,0.0
1967,NE,25060.0,3535.0,0.0
1967,NH,6015.0,331.0,0.0
1967,NJ,180763.0,0.0,0.0
1967,NM,27459.0,1913.0,0.0
1967,NV,16331.0,698.0,0.0
1967,NY,645180.0,39430.0,0.0
1967,OH,222085.0,28872.0,0.0
1967,OK,46603.0,5887.0,0.0
1967,OR,49496.0,17117.0,0.0
1967,PA,156186.0,431.0,0.0
1967,RI,27734.0,0.0,0.0
1967,SC,21559.0,14526.0,0.0
1967,SD,6355.0,2754.0,0.0
1967,TN,62474.0,7602.0,0.0
1967,TX,286350.0,19554.0,0.0
1967,UT,28887.0,1648.0,0.0
1967,VA,78404.0,22601.0,0.0
1967,VT,2461.0,61.0,0.0
1967,WA,83945.0,29141.0,0.0
1967,WI,78076.0,13887.0,0.0
1967,WV,11591.0,0.0,0.0
1967,WY,5293.0,1202.0,0.0
1968,AK,5583.0,0.0,0.0
1968,AL,49659.0,5650.0,0.0
1968,AR,22964.0,4447.0,0.0
1968,AZ,71604.0,8285.0,0.0
1968,CA,854482.0,226228.0,0.0
1968,CO,64072.0,13606.0,0.0
1968,CT,79670.0,0.0,0.0
1968,DC,63679.0,0.0,0.0
1968,DE,8239.0,0.0,0.0
1968,FL,213253.0,56123.0,0.0
1968,GA,58634.0,20412.0,0.0
1968,HI,33192.0,0.0,0.0
1968,IA,47345.0,8040.0,0.0
1968,ID,10466.0,3760.0,0.0
1968,IL,317672.0,22358.0,0.0
1968,IN,114152.0,18645.0,0.0
1968,KS,53825.0,8216.0,0.0
1968,KY,43961.0,12435.0,0.0
1968,LA,66706.0,20256.0,0.0
1968,MA,153974.0,0.0,0.0
1968,MD,95984.0,67798.0,0.0
