year,state_abb,local police department,sheriffs office,total_population,other_pop,percent_sheriff_pop,percent_police_pop
1987,WA,2175675.0,2366354.0,4542029.0,0.0,52.1,47.9
1967,VT,195905.0,212696.0,408601.0,0.0,52.1,47.9
1983,ND,328177.0,356927.0,685104.0,0.0,52.1,47.9
1998,NC,3623594.0,3942103.0,7565697.0,0.0,52.1,47.9
1961,OR,844846.0,920060.0,1764906.0,0.0,52.1,47.9
1972,AR,966919.0,1050846.0,2017765.0,0.0,52.1,47.9
1988,WA,2218701.0,2409249.0,4627950.0,0.0,52.1,47.9
1982,ND,323325.0,351705.0,675030.0,0.0,52.1,47.9
1979,VT,233129.0,252306.0,485435.0,0.0,52.0,48.0
1991,LA,2051725.0,2224438.0,4276163.0,0.0,52.0,48.0
1992,LA,2068646.0,2242711.0,4311357.0,0.0,52.0,48.0
1990,LA,2036245.0,2207714.0,4243959.0,0.0,52.0,48.0
1999,NC,3687698.0,3983834.0,7671532.0,0.0,51.9,48.1
1978,VT,230851.0,248962.0,479813.0,0.0,51.9,48.1
1977,NC,2661405.0,2867711.0,5529116.0,0.0,51.9,48.1
1994,LA,2089210.0,2250719.0,4339929.0,0.0,51.9,48.1
1964,KY,1519042.0,1640089.0,3159131.0,0.0,51.9,48.1
1985,ND,332784.0,357242.0,690026.0,0.0,51.8,48.2
1984,ND,333462.0,357574.0,691036.0,0.0,51.7,48.3
1963,OR,880670.0,942481.0,1823151.0,0.0,51.7,48.3
1976,NC,2647251.0,2821749.0,5469000.0,0.0,51.6,48.4
1985,WA,2142199.0,2270711.0,4412910.0,0.0,51.5,48.5
1986,ND,332058.0,351905.0,683963.0,0.0,51.5,48.5
1977,SD,337627.0,359045.0,696672.0,0.0,51.5,48.5
2022,FL,10768727.0,11465015.0,22255964.0,22222.0,51.5,48.4
1962,TN,1702683.0,1806689.0,3509372.0,0.0,51.5,48.5
1987,ND,330349.0,349785.0,680134.0,0.0,51.4,48.6
1986,WA,2168864.0,2298059.0,4466923.0,0.0,51.4,48.6
1973,AR,999422.0,1058465.0,2057887.0,0.0,51.4,48.6
1974,AR,1002964.0,1062257.0,2065221.0,0.0,51.4,48.6
1974,VT,224544.0,236192.0,460736.0,0.0,51.3,48.7
1975,VT,224599.0,236235.0,460834.0,0.0,51.3,48.7
1996,LA,2130371.0,2239333.0,4369704.0,0.0,51.2,48.8
1984,WA,2126269.0,2227197.0,4353466.0,0.0,51.2,48.8
