year,state_abb,agency_type,agencies,officers,total_staff
1961,NJ,special jurisdiction,1,25.0,26.0
1961,NJ,state law enforcement agency,1,906.0,1129.0
1961,NM,local police department,32,602.0,711.0
1961,NM,sheriffs office,32,51.0,57.0
1961,NM,special jurisdiction,2,6.0,6.0
1961,NM,state law enforcement agency,1,0.0,0.0
1961,NV,local police department,11,453.0,526.0
1961,NV,sheriffs office,16,65.0,67.0
1961,NY,constable/marshal,1,0.0,0.0
1961,NY,local police department,281,34127.0,35940.0
1961,NY,sheriffs office,60,953.0,1076.0
1961,NY,special jurisdiction,2,0.0,0.0
1961,OH,local police department,292,8271.0,9181.0
1961,OH,sheriffs office,88,609.0,769.0
1961,OH,special jurisdiction,1,0.0,0.0
1961,OK,local police department,92,1148.0,1217.0
1961,OK,sheriffs office,77,137.0,140.0
1961,OR,local police department,57,1297.0,1504.0
1961,OR,sheriffs office,36,313.0,360.0
1961,PA,local police department,441,11221.0,12206.0
1961,PA,sheriffs office,67,0.0,0.0
1961,PA,state law enforcement agency,1,0.0,0.0
1961,RI,local police department,30,1333.0,1436.0
1961,RI,sheriffs office,2,0.0,0.0
1961,RI,state law enforcement agency,1,0.0,0.0
1961,SC,local police department,72,998.0,1104.0
1961,SC,sheriffs office,46,43.0,56.0
1961,SC,special jurisdiction,1,0.0,0.0
1961,SD,local police department,27,253.0,284.0
1961,SD,sheriffs office,67,28.0,31.0
1961,TN,local police department,81,1894.0,2147.0
1961,TN,sheriffs office,94,18.0,22.0
1961,TX,local police department,313,6975.0,8090.0
1961,TX,sheriffs office,254,407.0,472.0
1961,UT,local police department,41,436.0,509.0
1961,UT,sheriffs office,28,26.0,31.0
1961,VA,local police department,75,2342.0,2590.0
1961,VA,sheriffs office,94,137.0,145.0
1961,VA,state law enforcement agency,1,710.0,983.0
1961,VT,local police department,18,151.0,160.0
1961,VT,sheriffs office,14,2.0,2.0
1961,VT,state law enforcement agency,1,0.0,0.0
1961,WA,local police department,77,2110.0,2381.0
1961,WA,sheriffs office,39,330.0,341.0
1961,WI,local police department,133,3926.0,4182.0
1961,WI,sheriffs office,71,453.0,494.0
1961,WV,local police department,58,493.0,543.0
1961,WV,sheriffs office,55,0.0,0.0
1961,WY,local police department,20,199.0,250.0
1961,WY,sheriffs office,23,40.0,54.0
1962,AK,local police department,6,123.0,187.0
1962,AK,state law enforcement agency,1,0.0,0.0
1962,AL,local police department,106,1456.0,1637.0
1962,AL,sheriffs office,67,84.0,107.0
1962,AR,local police department,66,579.0,622.0
1962,AR,sheriffs office,75,34.0,41.0
1962,AZ,local police department,31,1119.0,1301.0
1962,AZ,sheriffs office,14,334.0,341.0
1962,CA,local police department,357,16761.0,20066.0
1962,CA,sheriffs office,58,6171.0,7864.0
1962,CA,special jurisdiction,3,0.0,0.0
1962,CO,local police department,48,1397.0,1621.0
1962,CO,sheriffs office,63,247.0,282.0
1962,CT,local police department,98,3398.0,3605.0
1962,CT,state law enforcement agency,1,0.0,0.0
1962,DC,local police department,1,2845.0,3133.0
1962,DE,local police department,11,373.0,415.0
1962,DE,sheriffs office,2,105.0,140.0
1962,DE,state law enforcement agency,1,0.0,0.0
1962,FL,local police department,146,4755.0,6014.0
1962,FL,sheriffs office,66,578.0,750.0
1962,GA,constable/marshal,3,33.0,34.0
1962,GA,local police department,121,1855.0,2060.0
1962,GA,sheriffs office,159,22.0,23.0
1962,HI,local police department,13,649.0,760.0
1962,HI,special jurisdiction,1,0.0,0.0
1962,IA,local police department,104,1440.0,1633.0
1962,IA,sheriffs office,99,222.0,277.0
1962,ID,local police department,32,386.0,423.0
1962,ID,sheriffs office,44,124.0,139.0
1962,IL,local police department,325,14558.0,16218.0
1962,IL,sheriffs office,102,470.0,500.0
1962,IN,local police department,134,3361.0,3643.0
1962,IN,sheriffs office,92,442.0,489.0
1962,IN,state law enforcement agency,1,0.0,0.0
1962,KS,local police department,94,1312.0,1545.0
1962,KS,sheriffs office,104,410.0,449.0
1962,KY,local police department,89,1525.0,1708.0
1962,KY,sheriffs office,120,85.0,99.0
1962,LA,local police department,87,1741.0,1875.0
1962,LA,sheriffs office,64,374.0,412.0
1962,LA,state law enforcement agency,1,0.0,0.0
1962,MA,local police department,236,8139.0,8632.0
1962,MA,sheriffs office,14,0.0,0.0
